prog_id,event_id,prog_name,is_race,prog_date,prog_gender,results,team,race_title,race_venue,race_country,cat_id,cat_name
308227,110627,Elite Men,True,2016-07-30,male,True,False,2016 EST Triathlon National Championships,,Estonia,[-1],['']
308229,110627,Junior Men,True,2016-07-30,male,True,False,2016 EST Triathlon National Championships,,Estonia,[-1],['']
307397,110116,Elite Men,True,2016-07-31,male,True,False,2016 NOR Triathlon National Championships,,Norway,[-1],['']
281387,100900,Junior Men,True,2016-07-31,male,True,False,2016 Tabor ETU Triathlon Junior European Cup,Tabor,Czech republic,[342],['Continental Junior Cup']
281400,100901,Elite Men,True,2016-08-06,male,True,False,2016 Malmö ETU Sprint Triathlon European Cup,Malmö,Sweden,[341],['Continental Cup']
281395,100588,Elite Men,True,2016-08-07,male,True,False,2016 Montreal ITU Triathlon World Cup,Montreal,Canada,[349],['World Cup']
305460,100644,Elite Men,True,2016-08-07,male,True,False,2016 Nyon FISU World University Triathlon Championship,"Centre sportif de coloray, nyon",Switzerland,[345],['Recognised Event']
307818,110241,Elite Men,True,2016-08-13,male,True,False,2016 BLR Triathlon National Championships,,Belarus,[-1],['']
281406,100902,Elite Men,True,2016-08-13,male,True,False,2016 Tønsberg ETU Sprint Triathlon European Cup,Tønsberg ,Norway,[341],['Continental Cup']
308170,110577,Elite Men,True,2016-08-14,male,True,False,2016 GBR Sprint Triathlon National Championships,,Great britain,[-1],['']
308172,110577,Junior Men,True,2016-08-14,male,True,False,2016 GBR Sprint Triathlon National Championships,,Great britain,[-1],['']
323369,122711,Elite Men,True,2016-08-15,male,True,False,2016 BEL Triathlon National Championships,,Belgium,[-1],['']
305290,100636,Elite Men,True,2016-08-18,male,True,False,Rio de Janeiro 2016 Olympic Games,Rio de janeiro ,Brazil,[343],['Major Games']
310142,111592,Junior Men,True,2016-08-20,male,True,False,2016 CZE Triathlon Junior National Championships,,Czech republic,[-1],['']
306313,109598,Elite Men,True,2016-08-27,male,True,False,2016 NED Sprint Triathlon National Championships,,Netherlands,[-1],['']
307342,109598,Junior Men,True,2016-08-27,male,True,False,2016 NED Sprint Triathlon National Championships,,Netherlands,[-1],['']
307369,110086,Elite Men,True,2016-08-27,male,True,False,2016 RUS Triathlon National Championships,,Russia,[-1],['']
307375,110086,Junior Men,True,2016-08-27,male,True,False,2016 RUS Triathlon National Championships,,Russia,[-1],['']
309173,111164,Elite Men,True,2016-08-27,male,True,False,2016 CRO Triathlon National Championships,,Croatia,[-1],['']
320171,121519,Junior Men,True,2016-08-27,male,True,False,2016 BEL Triathlon Junior National Champioships,,Belgium,[-1],['']
281430,100903,Elite Men,True,2016-08-28,male,True,False,2016 Karlovy Vary ETU Triathlon Premium European Cup,Karlovy vary,Czech republic,[341],['Continental Cup']
281449,100904,Junior Men,True,2016-08-28,male,True,False,2016 Tulcea ETU Triathlon Junior European Cup,Tulcea,Romania,[342],['Continental Junior Cup']
307409,110133,Elite Men,True,2016-08-28,male,True,False,2016 NOR Sprint Triathlon National Championships,,Norway,[-1],['']
307411,110133,Junior Men,True,2016-08-28,male,True,False,2016 NOR Sprint Triathlon National Championships,,Norway,[-1],['']
306295,109576,Elite Men,True,2016-09-03,male,True,False,2016 Honiara OTU Triathlon Pacific Islands Championships,Honiara,Solomon islands,[347],['Regional Championships']
