event_id,event_title,event_slug,event_venue,event_website,event_date,event_country,event_region_id,event_country_id,event_latitude,event_longitude,event_categories,event_specifications
68810,2013 Osaka ITU Sprint Triathlon Asian Cup,2013-osaka-itu-sprint-triathlon-asian-cup,Osaka,https://web.archive.org/web/20131231100000/http://www.jtu.or.jp/eng/2013/,2013-07-21,Japan,13,192,34.69374,135.50217,"[{'event_id': 68810, 'cat_id': 341, 'cat_name': 'Continental Cup', 'cat_parent_id': 1}]","[{'event_id': 68810, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 68810, 'cat_id': 376, 'cat_name': 'Sprint', 'cat_parent_id': 357}]"
79559,2013 CAN Triathlon Junior National Championships,2013-can-triathlon-junior-national-championships,,,2013-07-21,Canada,11,135,56.130366,-106.346771,,"[{'event_id': 79559, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 79559, 'cat_id': 376, 'cat_name': 'Sprint', 'cat_parent_id': 357}]"
66688,2013 Cali World Games,2013-cali-world-games,Cali,https://web.archive.org/web/20131231100000/http://worldgames2013.com.co/,2013-07-26,Colombia,11,142,3.38543,-76.53287,"[{'event_id': 66688, 'cat_id': 344, 'cat_name': 'Multisport Series', 'cat_parent_id': 1}, {'event_id': 66688, 'cat_id': 346, 'cat_name': 'Recognised Games', 'cat_parent_id': 1}, {'event_id': 66688, 'cat_id': 348, 'cat_name': 'World Championships', 'cat_parent_id': 1}]","[{'event_id': 66688, 'cat_id': 355, 'cat_name': 'Duathlon', 'cat_parent_id': 3}, {'event_id': 66688, 'cat_id': 368, 'cat_name': 'Standard', 'cat_parent_id': 355}]"
79776,2013 HUN Long Distance Triathlon National Championships,2013-hun-long-distance-triathlon-national-championships,,,2013-07-27,Hungary,10,182,47.162494,19.503304,,"[{'event_id': 79776, 'cat_id': 356, 'cat_name': 'Long Distance Triathlon', 'cat_parent_id': 3}, {'event_id': 79776, 'cat_id': 374, 'cat_name': 'Long Distance', 'cat_parent_id': 356}]"
80553,2013 SOL Triathlon National Championships,2013-sol-triathlon-national-championships,,,2013-07-27,Solomon Islands,14,267,-9.64571,160.156194,,"[{'event_id': 80553, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 80553, 'cat_id': 377, 'cat_name': 'Standard', 'cat_parent_id': 357}]"
78897,2013 UKR Long Distance Triathlon National Championships,2013-ukr-lolg-distance-triathlon-national-championships,,,2013-07-28,Ukraine,10,290,48.379433,31.16558,,"[{'event_id': 78897, 'cat_id': 356, 'cat_name': 'Long Distance Triathlon', 'cat_parent_id': 3}, {'event_id': 78897, 'cat_id': 373, 'cat_name': 'Middle Distance', 'cat_parent_id': 356}]"
67095,2013 Bahia Inglesa ITU Triathlon Pan-American Cup,2013-bahia-inglesa-itu-triathlon-pan-american-cup,Bahia Inglesa,https://web.archive.org/web/20131231100000/http://www.fechitri.cl/v2/,2013-08-03,Chile,11,140,49.28718,-123.16144,"[{'event_id': 67095, 'cat_id': 341, 'cat_name': 'Continental Cup', 'cat_parent_id': 1}]","[{'event_id': 67095, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 67095, 'cat_id': 377, 'cat_name': 'Standard', 'cat_parent_id': 357}]"
79774,2013 HUN Triathlon Junior National Championships,2013-hun-triathlon-junior-national-championships,,,2013-08-03,Hungary,10,182,47.162494,19.503304,,"[{'event_id': 79774, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 79774, 'cat_id': 376, 'cat_name': 'Sprint', 'cat_parent_id': 357}]"
79870,2013 USA Triathlon Junior National Championship,2013-usa-junior-triathlon-national-championship,,,2013-08-03,United States,11,293,37.09024,-95.712891,,"[{'event_id': 79870, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 79870, 'cat_id': 376, 'cat_name': 'Sprint', 'cat_parent_id': 357}]"
80084,2013 SUI Triathlon Junior National Championships,2013-sui-triathlon-junior-national-championships,,,2013-08-04,Switzerland,10,276,46.818188,8.227512,,"[{'event_id': 80084, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 80084, 'cat_id': 376, 'cat_name': 'Sprint', 'cat_parent_id': 357}]"
